Movie_ID,Movie_Name,Genre,Description,Rating,Release_Year,Tokenised
1339,frozen story 1339,sci-fi,A scientist builds an intelligent robot that begins to understand human emotions,7.4,2007.0,scientist_build_intelligent_robot_begin_understand_human_emotion
695,secret heart 695,drama,Two brothers confront their troubled past after returning to their hometown,8.2,2021.0,two_brother_confront_troubled_past_returning_hometown
589,brave planet 589,romance,   A musician falls in love with an artist while both struggle with their careers   ,5.9,1991.0,musician_fall_love_artist_struggle_career
1573,lost memory 1573,romance,Two strangers meet unexpectedly and slowly fall in love despite their differences,2.6,1987.0,two_stranger_meet_unexpectedly_slowly_fall_love_despite_difference
1947,brave story 1947,sci-fi,A scientist builds an intelligent robot that begins to understand human emotions,5.5440406976744185,1986.0,scientist_build_intelligent_robot_begin_understand_human_emotion
1688,lonely adventure 1688,horror,A group of friends becomes trapped in a forest where something mysterious follows them,6.2,2024.0,group_friend_becomes_trapped_forest_something_mysterious_follows
121,frozen adventure 121,drama,A family struggles with relationships and difficult choices after an unexpected event,1.8,1994.0,family_struggle_relationship_difficult_choice_unexpected_event
745,burning kingdom 745,action,A police officer uncovers a conspiracy while chasing an international criminal,5.9,2005.0,police_officer_uncovers_conspiracy_chasing_international_criminal
1805,broken planet 1805,animation,   A young hero enters a magical world and discovers an unexpected power   ,1.5,1988.0,young_hero_enters_magical_world_discovers_unexpected_power
1700,lost dream 1700,horror,A WOMAN BEGINS SEEING FRIGHTENING EVENTS AFTER FINDING A MYSTERIOUS OBJECT !!! @#$,9.8,1994.0,woman_begin_seeing_frightening_event_finding_mysterious_object
786,silent empire 786,fantasy,A mysterious portal transports a student into a world of magic and mythical creatures,1.4,2011.0,mysterious_portal_transport_student_world_magic_mythical_creature
1396,hidden memory 1396,action,A warrior seeks revenge after his family is attacked by a ruthless gang,8.0,1986.0,warrior_seek_revenge_family_attacked_ruthless_gang
565,brave dream 565,romance,A young couple struggles to keep their relationship alive while pursuing their dreams,2.0,2008.0,young_couple_struggle_keep_relationship_alive_pursuing_dream
975,final warrior 975,action,A former soldier returns to rescue civilians from a powerful enemy,7.5,2000.0,former_soldier_return_rescue_civilian_powerful_enemy
451,lost mission 451,action,A superhero battles villains who threaten to destroy the world,6.0,2018.0,superhero_battle_villain_threaten_destroy_world
619,electric adventure 619,horror,A journalist investigates strange disappearances connected to an abandoned building,3.0,1997.0,journalist_investigates_strange_disappearance_connected_abandoned_building
252,unknown mission 252,adventure,A group of explorers searches for a legendary treasure hidden in an ancient land,6.5,2012.0,group_explorer_search_legendary_treasure_hidden_ancient_land
298,unknown warrior 298,crime,A detective investigates a complicated murder connected to organized crime,1.7,2022.0,detective_investigates_complicated_murder_connected_organized_crime
367,brave road 367,action,A warrior seeks revenge after his family is attacked by a ruthless gang,7.6,1982.0,warrior_seek_revenge_family_attacked_ruthless_gang
412,last planet 412,sci-fi,Humans use advanced technology to travel through time and change the future,7.5,2015.0,human_use_advanced_technology_travel_time_change_future
539,unknown shadow 539,action,A former soldier returns to rescue civilians from a powerful enemy,1.5,1985.0,former_soldier_return_rescue_civilian_powerful_enemy
234,infinite shadow 234,action,A skilled agent fights a dangerous criminal organization to protect the city,3.5,2023.0,skilled_agent_fight_dangerous_criminal_organization_protect_city
1583,ancient dream 1583,animation,A young hero enters a magical world and discovers an unexpected power,2.9,2002.0,young_hero_enters_magical_world_discovers_unexpected_power
101,dark story 101,romance,A musician falls in love with an artist while both struggle with their careers,3.9,2009.0,musician_fall_love_artist_struggle_career
1437,silent warrior 1437,drama,A family struggles with relationships and difficult choices after an unexpected event,8.2,2022.0,family_struggle_relationship_difficult_choice_unexpected_event
112,midnight world 112,crime,A criminal mastermind plans a risky robbery while detectives follow his movements,8.4,1986.0,criminal_mastermind_plan_risky_robbery_detective_follow_movement
255,dark adventure 255,romance,TWO STRANGERS MEET UNEXPECTEDLY AND SLOWLY FALL IN LOVE DESPITE THEIR DIFFERENCES !!! @#$,8.3,2001.0,two_stranger_meet_unexpectedly_slowly_fall_love_despite_difference
887,electric memory 887,action,A police officer uncovers a conspiracy while chasing an international criminal,3.4,2019.0,police_officer_uncovers_conspiracy_chasing_international_criminal
1051,midnight adventure 1051,adventure,A captain leads a crew across the ocean in search of a lost kingdom,1.3,2010.0,captain_lead_crew_across_ocean_search_lost_kingdom
1550,electric night 1550,fantasy,A young warrior discovers magical powers and must protect an ancient kingdom 3910 ###,2.5,2023.0,young_warrior_discovers_magical_power_must_protect_ancient_kingdom
1687,broken night 1687,sci-fi,A team of astronauts travels through deep space to discover a new planet for humanity,9.5,2013.0,team_astronaut_travel_deep_space_discover_new_planet_humanity
1475,golden world 1475,fantasy,A group of heroes travels through a magical land to defeat an evil ruler,5.5440406976744185,2020.0,group_hero_travel_magical_land_defeat_evil_ruler
362,lonely story 362,comedy,A man pretends to be someone else and becomes trapped in a hilarious situation,7.3,1988.0,man_pretend_someone_else_becomes_trapped_hilarious_situation
1429,crimson shadow 1429,action,A skilled agent fights a dangerous criminal organization to protect the city,2.1,2016.0,skilled_agent_fight_dangerous_criminal_organization_protect_city
556,lonely road 556,comedy,An unlucky employee creates chaos while trying to impress a new manager,1.1,2006.0,unlucky_employee_creates_chaos_trying_impress_new_manager
211,dark empire 211,sci-fi,A mysterious signal from space leads researchers to an unknown alien civilization,4.8,1986.0,mysterious_signal_space_lead_researcher_unknown_alien_civilization
479,burning kingdom 479,comedy,A man pretends to be someone else and becomes trapped in a hilarious situation,2.4,2015.0,man_pretend_someone_else_becomes_trapped_hilarious_situation
1342,unknown kingdom 1342,comedy,An unlucky employee creates chaos while trying to impress a new manager,2.2,1997.0,unlucky_employee_creates_chaos_trying_impress_new_manager
850,lost planet 850,sci-fi,A MYSTERIOUS SIGNAL FROM SPACE LEADS RESEARCHERS TO AN UNKNOWN ALIEN CIVILIZATION !!! @#$,6.2,2000.0,mysterious_signal_space_lead_researcher_unknown_alien_civilization
1965,secret signal 1965,romance,Childhood friends reunite years later and discover feelings for each other,4.5,2006.0,childhood_friend_reunite_year_later_discover_feeling
1068,lonely signal 1068,sci-fi,A team of astronauts travels through deep space to discover a new planet for humanity,8.8,1981.0,team_astronaut_travel_deep_space_discover_new_planet_humanity
57,unknown memory 57,horror,   A group of friends becomes trapped in a forest where something mysterious follows them   ,7.5,1993.0,group_friend_becomes_trapped_forest_something_mysterious_follows
536,ancient heart 536,animation,A group of talking animals works together to save their home from danger,13.1,2014.0,group_talking_animal_work_together_save_home_danger
110,hidden night 110,comedy,A man pretends to be someone else and becomes trapped in a hilarious situation,8.2,2016.0,man_pretend_someone_else_becomes_trapped_hilarious_situation
1212,lonely empire 1212,horror,A family moves into an old house and discovers a terrifying supernatural presence,8.4,1999.0,family_move_old_house_discovers_terrifying_supernatural_presence
351,golden world 351,action,A police officer uncovers a conspiracy while chasing an international criminal,3.8,1989.0,police_officer_uncovers_conspiracy_chasing_international_criminal
671,lonely planet 671,sci-fi,A crew becomes stranded on a distant planet after their spacecraft is damaged,1.3,2000.0,crew_becomes_stranded_distant_planet_spacecraft_damaged
129,silent empire 129, horror ,A family moves into an old house and discovers a terrifying supernatural presence,8.9,2016.0,family_move_old_house_discovers_terrifying_supernatural_presence
924,wild planet 924,crime,A young man becomes involved with a criminal organization and struggles to escape,5.7,1995.0,young_man_becomes_involved_criminal_organization_struggle_escape
652,burning memory 652,horror,A woman begins seeing frightening events after finding a mysterious object,6.3,1980.0,woman_begin_seeing_frightening_event_finding_mysterious_object
612,secret night 612,crime,POLICE OFFICERS INVESTIGATE A SERIES OF ROBBERIES COMMITTED BY A MYSTERIOUS GANG !!! @#$,3.1,1983.0,police_officer_investigate_series_robbery_committed_mysterious_gang
1376,hidden kingdom 1376, sci-fi ,A scientist builds an intelligent robot that begins to understand human emotions,7.6,2008.0,scientist_build_intelligent_robot_begin_understand_human_emotion
1648,ancient world 1648,action,A former soldier returns to rescue civilians from a powerful enemy,9.4,2000.0,former_soldier_return_rescue_civilian_powerful_enemy
1474,broken empire 1474,comedy,Two roommates experience a series of funny misunderstandings and unexpected events,14.5,2011.0,two_roommate_experience_series_funny_misunderstanding_unexpected_event
509,burning story 509,animation,Toys secretly come alive and begin an exciting adventure when humans leave,5.1,2011.0,toy_secretly_come_alive_begin_exciting_adventure_human_leave
1135,dark storm 1135,comedy,An unlucky employee creates chaos while trying to impress a new manager,4.0,1987.0,unlucky_employee_creates_chaos_trying_impress_new_manager
1742,silent shadow 1742,comedy,A group of friends gets into hilarious trouble during a weekend trip,14.3,1985.0,group_friend_get_hilarious_trouble_weekend_trip
1430,dark secret 1430,horror,A group of friends becomes trapped in a forest where something mysterious follows them,2.1,1999.0,group_friend_becomes_trapped_forest_something_mysterious_follows
430,final dream 430, animation ,A group of talking animals works together to save their home from danger,5.7,1995.0,group_talking_animal_work_together_save_home_danger
1381,frozen road 1381,fantasy,A young warrior discovers magical powers and must protect an ancient kingdom,5.8,2007.0,young_warrior_discovers_magical_power_must_protect_ancient_kingdom
197,ancient storm 197,crime,A young man becomes involved with a criminal organization and struggles to escape,9.0,2021.0,young_man_becomes_involved_criminal_organization_struggle_escape
1533,wild world 1533,horror,A group of friends becomes trapped in a forest where something mysterious follows them,5.0,2020.0,group_friend_becomes_trapped_forest_something_mysterious_follows
1853,burning planet 1853,animation,TOYS SECRETLY COME ALIVE AND BEGIN AN EXCITING ADVENTURE WHEN HUMANS LEAVE !!! @#$,2.7,1983.0,toy_secretly_come_alive_begin_exciting_adventure_human_leave
1834,hidden adventure 1834,drama,A businessman reevaluates his life after experiencing a major personal loss,2.5,1998.0,businessman_reevaluates_life_experiencing_major_personal_loss
1719,hidden warrior 1719,adventure,A young traveler begins a dangerous journey across mountains and forests,8.5,1987.0,young_traveler_begin_dangerous_journey_across_mountain_forest
1778,silent mission 1778,action,A police officer uncovers a conspiracy while chasing an international criminal,3.2,2021.0,police_officer_uncovers_conspiracy_chasing_international_criminal
531,frozen memory 531,comedy,A group of friends gets into hilarious trouble during a weekend trip,5.5440406976744185,1980.0,group_friend_get_hilarious_trouble_weekend_trip
927,lonely heart 927,romance,Two people from different backgrounds begin a complicated romantic relationship,4.0,1990.0,two_people_different_background_begin_complicated_romantic_relationship
70,secret kingdom 70,action,A warrior seeks revenge after his family is attacked by a ruthless gang,9.7,1996.0,warrior_seek_revenge_family_attacked_ruthless_gang
1317,brave road 1317,animation,A group of talking animals works together to save their home from danger,9.5,2015.0,group_talking_animal_work_together_save_home_danger
939,crimson night 939,action,A skilled agent fights a dangerous criminal organization to protect the city,7.6,2016.0,skilled_agent_fight_dangerous_criminal_organization_protect_city
433,unknown mission 433,comedy,A group of friends gets into hilarious trouble during a weekend trip,1.8,2004.0,group_friend_get_hilarious_trouble_weekend_trip
241,brave heart 241,animation,A curious child befriends a magical creature and explores a hidden kingdom,3.6,2005.0,curious_child_befriends_magical_creature_explores_hidden_kingdom
1454,lonely shadow 1454,drama,A family struggles with relationships and difficult choices after an unexpected event,5.4,2006.0,family_struggle_relationship_difficult_choice_unexpected_event
388,dark hero 388,fantasy,An ancient prophecy sends unlikely heroes on a dangerous magical journey,7.1,1999.0,ancient_prophecy_sends_unlikely_hero_dangerous_magical_journey
307,final empire 307,sci-fi,Humans use advanced technology to travel through time and change the future,4.5,2015.0,human_use_advanced_technology_travel_time_change_future
1753,brave planet 1753,sci-fi,A scientist builds an intelligent robot that begins to understand human emotions,7.3,1986.0,scientist_build_intelligent_robot_begin_understand_human_emotion
681,wild dream 681,drama,A teacher inspires struggling students while facing challenges in his own life,3.3,2024.0,teacher_inspires_struggling_student_facing_challenge_life
890,lost road 890,drama,A family struggles with relationships and difficult choices after an unexpected event,2.4,2011.0,family_struggle_relationship_difficult_choice_unexpected_event
937,brave heart 937,action,A warrior seeks revenge after his family is attacked by a ruthless gang,9.3,2026.0,warrior_seek_revenge_family_attacked_ruthless_gang
985,ancient heart 985,comedy,A group of friends gets into hilarious trouble during a weekend trip,6.5,2004.0,group_friend_get_hilarious_trouble_weekend_trip
1114,electric world 1114,horror,A woman begins seeing frightening events after finding a mysterious object,2.3,2020.0,woman_begin_seeing_frightening_event_finding_mysterious_object
1434,last journey 1434,adventure,A captain leads a crew across the ocean in search of a lost kingdom,5.3,1999.0,captain_lead_crew_across_ocean_search_lost_kingdom
1959,infinite adventure 1959,horror,A family moves into an old house and discovers a terrifying supernatural presence,8.4,1999.0,family_move_old_house_discovers_terrifying_supernatural_presence
1868,hidden mission 1868,fantasy,A young warrior discovers magical powers and must protect an ancient kingdom,1.8,1981.0,young_warrior_discovers_magical_power_must_protect_ancient_kingdom
212,   electric mission 212   ,drama,A family struggles with relationships and difficult choices after an unexpected event,3.9,1989.0,family_struggle_relationship_difficult_choice_unexpected_event
248,final empire 248,action,A police officer uncovers a conspiracy while chasing an international criminal 8354 ###,7.8,2017.0,police_officer_uncovers_conspiracy_chasing_international_criminal
562,wild mission 562,romance,Two people from different backgrounds begin a complicated romantic relationship,6.1,2007.0,two_people_different_background_begin_complicated_romantic_relationship
1680,lost heart 1680,animation,An unlikely group of animated heroes works together to protect their city,8.4,2013.0,unlikely_group_animated_hero_work_together_protect_city
260,secret memory 260,horror,A group of friends becomes trapped in a forest where something mysterious follows them,4.0,2017.0,group_friend_becomes_trapped_forest_something_mysterious_follows
343,midnight empire 343,romance,Two people from different backgrounds begin a complicated romantic relationship,5.1,2018.0,two_people_different_background_begin_complicated_romantic_relationship
1893,dark dream 1893,fantasy,A mysterious portal transports a student into a world of magic and mythical creatures,9.9,2010.0,mysterious_portal_transport_student_world_magic_mythical_creature
1642,broken memory 1642,drama,Two brothers confront their troubled past after returning to their hometown,4.6,2019.0,two_brother_confront_troubled_past_returning_hometown
125,final planet 125,crime,A young man becomes involved with a criminal organization and struggles to escape,7.6,1997.0,young_man_becomes_involved_criminal_organization_struggle_escape
1738,broken story 1738,romance,Two strangers meet unexpectedly and slowly fall in love despite their differences,8.8,2024.0,two_stranger_meet_unexpectedly_slowly_fall_love_despite_difference
1343,golden storm 1343,fantasy,A YOUNG WARRIOR DISCOVERS MAGICAL POWERS AND MUST PROTECT AN ANCIENT KINGDOM !!! @#$,5.7,2016.0,young_warrior_discovers_magical_power_must_protect_ancient_kingdom
766,last night 766,crime,A young man becomes involved with a criminal organization and struggles to escape,7.7,2026.0,young_man_becomes_involved_criminal_organization_struggle_escape
1455,lost story 1455,comedy,A man pretends to be someone else and becomes trapped in a hilarious situation,9.7,2023.0,man_pretend_someone_else_becomes_trapped_hilarious_situation
614,ancient mission 614,sci-fi,A crew becomes stranded on a distant planet after their spacecraft is damaged,8.4,2020.0,crew_becomes_stranded_distant_planet_spacecraft_damaged
591,burning empire 591,sci-fi,A team of astronauts travels through deep space to discover a new planet for humanity,4.0,2019.0,team_astronaut_travel_deep_space_discover_new_planet_humanity
66,secret kingdom 66,comedy,A group of friends gets into hilarious trouble during a weekend trip,4.4,1982.0,group_friend_get_hilarious_trouble_weekend_trip
1281,burning empire 1281,fantasy,An ancient prophecy sends unlikely heroes on a dangerous magical journey,1.8,1984.0,ancient_prophecy_sends_unlikely_hero_dangerous_magical_journey
1161,midnight shadow 1161, comedy ,A man pretends to be someone else and becomes trapped in a hilarious situation,3.0,2017.0,man_pretend_someone_else_becomes_trapped_hilarious_situation
711,golden adventure 711,crime,Police officers investigate a series of robberies committed by a mysterious gang,4.3,1983.0,police_officer_investigate_series_robbery_committed_mysterious_gang
618,infinite heart 618,romance,Childhood friends reunite years later and discover feelings for each other,2.7,1982.0,childhood_friend_reunite_year_later_discover_feeling
1845,last kingdom 1845,action,A skilled agent fights a dangerous criminal organization to protect the city,9.3,2005.0,skilled_agent_fight_dangerous_criminal_organization_protect_city
603,infinite story 603,action,A skilled agent fights a dangerous criminal organization to protect the city,12.0,1983.0,skilled_agent_fight_dangerous_criminal_organization_protect_city
1690,dark road 1690,action,A skilled agent fights a dangerous criminal organization to protect the city,2.7,1999.0,skilled_agent_fight_dangerous_criminal_organization_protect_city
586,lonely journey 586,horror,A group of friends becomes trapped in a forest where something mysterious follows them,6.2,2004.0,group_friend_becomes_trapped_forest_something_mysterious_follows
1658,lonely adventure 1658,sci-fi,A crew becomes stranded on a distant planet after their spacecraft is damaged,2.3,1998.0,crew_becomes_stranded_distant_planet_spacecraft_damaged
1122,unknown heart 1122,comedy,A GROUP OF FRIENDS GETS INTO HILARIOUS TROUBLE DURING A WEEKEND TRIP !!! @#$,6.7,2002.0,group_friend_get_hilarious_trouble_weekend_trip
818,brave signal 818,horror,A woman begins seeing frightening events after finding a mysterious object,7.6,2022.0,woman_begin_seeing_frightening_event_finding_mysterious_object
904,dark signal 904,sci-fi,A scientist builds an intelligent robot that begins to understand human emotions,7.3,1986.0,scientist_build_intelligent_robot_begin_understand_human_emotion
1560,brave empire 1560,adventure,A captain leads a crew across the ocean in search of a lost kingdom,5.2,1982.0,captain_lead_crew_across_ocean_search_lost_kingdom
1762,crimson story 1762,animation,A young hero enters a magical world and discovers an unexpected power,2.7,1990.0,young_hero_enters_magical_world_discovers_unexpected_power
1997,ancient city 1997,action,A skilled agent fights a dangerous criminal organization to protect the city,2.7,2022.0,skilled_agent_fight_dangerous_criminal_organization_protect_city
1490,hidden adventure 1490,drama,A teacher inspires struggling students while facing challenges in his own life,2.1,1983.0,teacher_inspires_struggling_student_facing_challenge_life
793,frozen memory 793,drama,A family struggles with relationships and difficult choices after an unexpected event,2.8,1988.0,family_struggle_relationship_difficult_choice_unexpected_event
189,electric mission 189,action,A former soldier returns to rescue civilians from a powerful enemy,7.8,1994.0,former_soldier_return_rescue_civilian_powerful_enemy
1509,frozen road 1509,sci-fi,A team of astronauts travels through deep space to discover a new planet for humanity,6.7,2024.0,team_astronaut_travel_deep_space_discover_new_planet_humanity
880,lost secret 880,sci-fi,A scientist builds an intelligent robot that begins to understand human emotions,4.1,2010.0,scientist_build_intelligent_robot_begin_understand_human_emotion
600,broken storm 600,fantasy,A young warrior discovers magical powers and must protect an ancient kingdom,9.4,1989.0,young_warrior_discovers_magical_power_must_protect_ancient_kingdom
1291,electric empire 1291,horror,Visitors to an isolated village discover a dark secret hidden by the residents,9.9,2007.0,visitor_isolated_village_discover_dark_secret_hidden_resident
1522,silent warrior 1522,horror,A group of friends becomes trapped in a forest where something mysterious follows them,1.5,1997.0,group_friend_becomes_trapped_forest_something_mysterious_follows
1543,golden adventure 1543,animation,A curious child befriends a magical creature and explores a hidden kingdom,8.7,1981.0,curious_child_befriends_magical_creature_explores_hidden_kingdom
1966,unknown planet 1966,horror,A family moves into an old house and discovers a terrifying supernatural presence,6.2,2024.0,family_move_old_house_discovers_terrifying_supernatural_presence
1842,silent dream 1842,sci-fi,A crew becomes stranded on a distant planet after their spacecraft is damaged,4.4,2016.0,crew_becomes_stranded_distant_planet_spacecraft_damaged
375,hidden kingdom 375,animation,A young hero enters a magical world and discovers an unexpected power,5.3,1995.0,young_hero_enters_magical_world_discovers_unexpected_power
439,brave city 439,comedy,A family vacation turns into a collection of ridiculous and embarrassing situations,9.4,1999.0,family_vacation_turn_collection_ridiculous_embarrassing_situation
1191,final road 1191,romance,Two strangers meet unexpectedly and slowly fall in love despite their differences,1.4,2000.0,two_stranger_meet_unexpectedly_slowly_fall_love_despite_difference
808,lonely world 808,fantasy,An ancient prophecy sends unlikely heroes on a dangerous magical journey,5.7,2003.0,ancient_prophecy_sends_unlikely_hero_dangerous_magical_journey
291,silent mission 291,romance,A musician falls in love with an artist while both struggle with their careers,1.3,1992.0,musician_fall_love_artist_struggle_career
1014,last empire 1014,crime,An investigator uncovers corruption involving powerful people in the city,9.4,2025.0,investigator_uncovers_corruption_involving_powerful_people_city
136,golden planet 136,action,A SUPERHERO BATTLES VILLAINS WHO THREATEN TO DESTROY THE WORLD !!! @#$,6.9,1990.0,superhero_battle_villain_threaten_destroy_world
1091,final secret 1091,drama,A family struggles with relationships and difficult choices after an unexpected event,4.1,1985.0,family_struggle_relationship_difficult_choice_unexpected_event
100,lost mission 100,fantasy,An ancient prophecy sends unlikely heroes on a dangerous magical journey,2.2,2009.0,ancient_prophecy_sends_unlikely_hero_dangerous_magical_journey
708,last empire 708,drama,Two brothers confront their troubled past after returning to their hometown,5.5440406976744185,2011.0,two_brother_confront_troubled_past_returning_hometown
1603,unknown kingdom 1603,drama,A talented student works hard to overcome personal and financial challenges,3.2,1991.0,talented_student_work_hard_overcome_personal_financial_challenge
1511,golden heart 1511,animation,A young hero enters a magical world and discovers an unexpected power,8.4,1980.0,young_hero_enters_magical_world_discovers_unexpected_power
434,lonely empire 434,animation,A group of talking animals works together to save their home from danger 3807 ###,6.7,2024.0,group_talking_animal_work_together_save_home_danger
1714,hidden heart 1714,crime,A detective investigates a complicated murder connected to organized crime,6.5,1980.0,detective_investigates_complicated_murder_connected_organized_crime
809,burning shadow 809,sci-fi,A scientist builds an intelligent robot that begins to understand human emotions,9.4,2010.0,scientist_build_intelligent_robot_begin_understand_human_emotion
221,ancient signal 221,action,A POLICE OFFICER UNCOVERS A CONSPIRACY WHILE CHASING AN INTERNATIONAL CRIMINAL !!! @#$,8.8,2026.0,police_officer_uncovers_conspiracy_chasing_international_criminal
1766,broken night 1766,crime,A detective investigates a complicated murder connected to organized crime,6.8,1997.0,detective_investigates_complicated_murder_connected_organized_crime
631,brave storm 631,fantasy,A young warrior discovers magical powers and must protect an ancient kingdom,9.3,2016.0,young_warrior_discovers_magical_power_must_protect_ancient_kingdom
906,electric planet 906,adventure,A group of explorers searches for a legendary treasure hidden in an ancient land,7.2,2002.0,group_explorer_search_legendary_treasure_hidden_ancient_land
238,final city 238,animation,A CURIOUS CHILD BEFRIENDS A MAGICAL CREATURE AND EXPLORES A HIDDEN KINGDOM !!! @#$,5.8,1994.0,curious_child_befriends_magical_creature_explores_hidden_kingdom
14,broken journey 14,sci-fi,A crew becomes stranded on a distant planet after their spacecraft is damaged,4.6,1984.0,crew_becomes_stranded_distant_planet_spacecraft_damaged
768,crimson story 768,comedy,An unlucky employee creates chaos while trying to impress a new manager,2.0,2022.0,unlucky_employee_creates_chaos_trying_impress_new_manager
1993,crimson dream 1993,romance,Two people from different backgrounds begin a complicated romantic relationship,1.9,1993.0,two_people_different_background_begin_complicated_romantic_relationship
